Gene,ColonCancer,BreastCancer
BRCA1,,BreastHighRisk
BRCA2,,BreastHighRisk
CDH1,ColonLowRisk,BreastHighRisk
PTEN,ColonLowRisk,BreastHighRisk
STK11,ColonMedRisk,BreastHighRisk
TP53,ColonMedRisk,BreastHighRisk
ABHD8,,BreastLowRisk
ABRAXAS1,,BreastLowRisk
AC004066.3,,BreastLowRisk
ADCY3,,BreastLowRisk
ADCY9,,BreastLowRisk
AFF4,,BreastLowRisk
AKAP9,,BreastLowRisk
AKT1,ColonLowRisk,BreastLowRisk
ALS2CR12,,BreastLowRisk
ANKLE1,,BreastLowRisk
AP5B1,,BreastLowRisk
ARHGEF38,,BreastLowRisk
ARRDC3,,BreastLowRisk
ATAD2,,BreastLowRisk
ATF7IP,,BreastLowRisk
ATP13A1,,BreastLowRisk
ATXN7,,BreastLowRisk
BARD1,,BreastLowRisk
BARX2,,BreastLowRisk
BLM,,BreastLowRisk
BMI1,,BreastLowRisk
C11orf65,,BreastLowRisk
C6orf211,,BreastLowRisk
CACNA1A,,BreastLowRisk
CASP8,,BreastLowRisk
CASR,ColonLowRisk,BreastLowRisk
CASZ1,,BreastLowRisk
CBX6,,BreastLowRisk
CCDC12,,BreastLowRisk
CCDC170,,BreastLowRisk
CCDC40,,BreastLowRisk
CCDC91,,BreastLowRisk
CCND1,,BreastLowRisk
CCNE1,,BreastLowRisk
CD151,,BreastLowRisk
CDK12,ColonLowRisk,BreastLowRisk
CDKAL1,,BreastLowRisk
CDYL2,,BreastLowRisk
CFL1,,BreastLowRisk
CFLAR,,BreastLowRisk
CHEK1,,BreastLowRisk
CLPTM1L,,BreastLowRisk
CMSS1,,BreastLowRisk
COMMD3,,BreastLowRisk
CREBBP,,BreastLowRisk
CRLF1,,BreastLowRisk
CRNDE,,BreastLowRisk
CTA-292E10.6,,BreastLowRisk
CTD-3032H12.2,,BreastLowRisk
CUX1,,BreastLowRisk
DAND5,,BreastLowRisk
DNMT3A,,BreastLowRisk
DUSP4,,BreastLowRisk
DYNC1I2,,BreastLowRisk
DYNLRB2,,BreastLowRisk
EBF1,,BreastLowRisk
EFNA1,,BreastLowRisk
ELL,,BreastLowRisk
EP300,,BreastLowRisk
EPCAM,ColonHighRisk,BreastLowRisk
EPS8L2,,BreastLowRisk
ESR1,,BreastLowRisk
EWSR1,,BreastLowRisk
EXO1,,BreastLowRisk
FAM189B,,BreastLowRisk
FANCM,,BreastLowRisk
FBXO32,,BreastLowRisk
FGFR2,,BreastLowRisk
FILIP1L,,BreastLowRisk
FKBP8,,BreastLowRisk
FOXI1,,BreastLowRisk
GATA3,,BreastLowRisk
GATAD2A,,BreastLowRisk
GCDH,,BreastLowRisk
GDF15,,BreastLowRisk
GEN1,,BreastLowRisk
GRHL2,,BreastLowRisk
HOOK2,,BreastLowRisk
HSPA4,,BreastLowRisk
IGFBP5,,BreastLowRisk
INHBB,,BreastLowRisk
IRX3,,BreastLowRisk
ISYNA1,,BreastLowRisk
JUNB,,BreastLowRisk
KAT5,,BreastLowRisk
KB-1562D12.1,,BreastLowRisk
KB-1930G5.4,,BreastLowRisk
KCNN4,,BreastLowRisk
KCTD1,,BreastLowRisk
KDELC2,,BreastLowRisk
KLF4,,BreastLowRisk
KLF5,,BreastLowRisk
KLHDC7A,,BreastLowRisk
KRIT1,,BreastLowRisk
KXD1,,BreastLowRisk
L3MBTL3,,BreastLowRisk
LPAR2,,BreastLowRisk
LRRC41,,BreastLowRisk
LRRN2,,BreastLowRisk
MAFF,,BreastLowRisk
